vaccinationCenterName,location,vaccineName,vaccinationDate,totalRegistrations,totalBoys,totalGirls
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Sinopharm,2022-01-17,38,5,2
Uhc 18 Kathmandu Metropolitan City,Nardevi,Sinopharm,2021-06-18,148,5,45
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Pfizer-BioNTech,2021-02-22,491,298,19
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Pfizer-BioNTech,2024-01-05,349,64,268
Uhc 26 Kathmandu Metropolitan City,Lainchaur,AstraZeneca,2022-12-04,454,196,83
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Pfizer-BioNTech,2022-11-03,375,269,46
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Pfizer-BioNTech,2022-02-27,125,37,36
Uhc 7 Kathmandu Metropolitan City,Mitrapark,Sinopharm,2021-07-03,84,77,7
Uhc 6 Kathmandu Metropolitan City,Baudhha,Sinopharm,2022-12-15,82,23,37
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Moderna,2021-07-07,434,214,108
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Pfizer-BioNTech,2022-06-16,299,176,48
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Pfizer-BioNTech,2024-01-05,412,370,13
Uhc 32 Kathmandu Metropolitan City,Koteshwor,AstraZeneca,2023-11-10,197,133,7
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Sinopharm,2022-05-11,68,44,2
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,AstraZeneca,2022-04-03,136,70,22
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Sinopharm,2021-06-22,321,31,37
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Sinopharm,2023-12-11,210,149,33
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,AstraZeneca,2023-08-14,331,288,24
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Sinopharm,2023-05-11,161,52,54
Uhc 16 Kathmandu Metropolitan City,Balaju,Sinopharm,2020-12-21,31,27,0
Uhc 13 Kathmandu Metropolitan City,Kalimati,Pfizer-BioNTech,2022-11-17,322,291,25
Uhc 24 Kathmandu Metropolitan City,Makhan,Sinopharm,2020-12-31,374,50,41
Uhc 16 Kathmandu Metropolitan City,Balaju,Johnson & Johnson,2021-04-16,93,31,18
Uhc 31 Kathmandu Metropolitan City,Shantinagar,Pfizer-BioNTech,2022-07-05,114,49,30
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Sinopharm,2022-05-01,44,19,15
Uhc 18 Kathmandu Metropolitan City,Nardevi,Sinopharm,2022-12-15,289,266,0
Uhc 5 Kathmandu Metropolitan City,Hadigaun,AstraZeneca,2022-08-05,403,236,66
Uhc 15 Kathmandu Metropolitan City,Dallu,Sinopharm,2020-10-03,388,206,97
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Sinopharm,2023-05-12,315,259,56
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,AstraZeneca,2021-09-20,490,217,41
Uhc 32 Kathmandu Metropolitan City,Koteshwor,Sinopharm,2023-05-17,415,255,75
Uhc 9 Kathmandu Metropolitan City,Gaushala,AstraZeneca,2022-02-19,110,73,9
Uhc 32 Kathmandu Metropolitan City,Koteshwor,Johnson & Johnson,2023-03-27,277,32,149
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,AstraZeneca,2021-06-26,303,128,54
Uhc 13 Kathmandu Metropolitan City,Kalimati,Sinopharm,2023-04-11,88,36,43
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Pfizer-BioNTech,2023-07-06,172,140,8
Uhc 1 Kathmandu Metropolitan City,Naxal,Pfizer-BioNTech,2021-08-14,174,132,32
Uhc 26 Kathmandu Metropolitan City,Lainchaur,AstraZeneca,2021-04-03,261,132,54
Uhc 6 Kathmandu Metropolitan City,Baudhha,AstraZeneca,2021-07-14,101,28,41
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Pfizer-BioNTech,2021-08-19,435,187,235
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Pfizer-BioNTech,2021-08-14,280,23,255
Uhc 24 Kathmandu Metropolitan City,Makhan,Sinopharm,2021-07-11,85,77,8
Uhc 15 Kathmandu Metropolitan City,Dallu,Pfizer-BioNTech,2023-07-30,363,284,48
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Pfizer-BioNTech,2024-01-28,165,84,21
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Johnson & Johnson,2021-10-29,124,83,28
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,AstraZeneca,2022-12-08,58,20,22
Uhc 15 Kathmandu Metropolitan City,Dallu,Sinopharm,2023-09-22,32,28,4
Uhc 6 Kathmandu Metropolitan City,Baudhha,Johnson & Johnson,2023-03-03,416,194,210
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,AstraZeneca,2022-06-10,145,77,55
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Sinopharm,2021-03-09,359,63,209
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Johnson & Johnson,2020-10-16,374,85,242
Uhc 14 Kathmandu Metropolitan City,Kalanki,Sinopharm,2021-06-07,426,27,381
Uhc 14 Kathmandu Metropolitan City,Kalanki,Sinopharm,2023-04-01,47,39,0
Uhc 13 Kathmandu Metropolitan City,Kalimati,AstraZeneca,2022-04-30,221,118,103
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Sinopharm,2021-02-12,54,49,1
Uhc 22 Kathmandu Metropolitan City,Te Bahal,AstraZeneca,2022-04-04,493,179,82
Uhc 13 Kathmandu Metropolitan City,Kalimati,Sinopharm,2022-02-24,437,334,15
Uhc 10 Kathmandu Metropolitan City,Baneshwor,AstraZeneca,2022-11-03,33,4,29
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,AstraZeneca,2023-06-04,95,66,13
Uhc 14 Kathmandu Metropolitan City,Kalanki,AstraZeneca,2022-07-20,191,64,73
Uhc 24 Kathmandu Metropolitan City,Makhan,Sinopharm,2023-11-16,79,8,4
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Sinopharm,2023-07-01,55,47,4
Uhc 26 Kathmandu Metropolitan City,Lainchaur,Sinopharm,2021-11-15,238,208,3
Uhc 25 Kathmandu Metropolitan City,Masan Galli,Sinopharm,2021-10-03,428,268,77
Uhc 11 Kathmandu Metropolitan City,Babarmahal,AstraZeneca,2021-03-09,470,287,41
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2024-01-10,449,33,98
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Sinopharm,2021-11-02,344,174,130
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,AstraZeneca,2022-05-26,483,164,25
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Pfizer-BioNTech,2022-11-18,196,171,2
Uhc 16 Kathmandu Metropolitan City,Balaju,Pfizer-BioNTech,2021-08-28,189,167,12
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Pfizer-BioNTech,2021-02-18,330,75,14
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Pfizer-BioNTech,2022-01-19,94,1,58
Uhc 31 Kathmandu Metropolitan City,Shantinagar,Sinopharm,2021-01-05,132,18,16
Uhc 15 Kathmandu Metropolitan City,Dallu,Moderna,2022-10-12,372,81,105
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Pfizer-BioNTech,2022-08-13,192,109,11
Uhc 18 Kathmandu Metropolitan City,Nardevi,AstraZeneca,2023-09-11,393,111,131
Uhc 14 Kathmandu Metropolitan City,Kalanki,Pfizer-BioNTech,2022-11-20,169,113,19
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,Pfizer-BioNTech,2022-04-29,349,335,2
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,AstraZeneca,2023-02-16,344,106,91
Uhc 26 Kathmandu Metropolitan City,Lainchaur,Pfizer-BioNTech,2023-01-20,280,180,51
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Sinopharm,2021-11-15,176,79,72
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,AstraZeneca,2022-12-03,177,0,2
Uhc 23 Kathmandu Metropolitan City,Om Bahal,AstraZeneca,2023-07-13,212,110,58
Uhc 15 Kathmandu Metropolitan City,Dallu,AstraZeneca,2022-07-23,160,44,87
Uhc 23 Kathmandu Metropolitan City,Om Bahal,Sinopharm,2021-07-27,184,108,48
Uhc 7 Kathmandu Metropolitan City,Mitrapark,AstraZeneca,2021-01-02,320,111,13
Uhc 13 Kathmandu Metropolitan City,Kalimati,AstraZeneca,2023-10-02,104,69,21
Uhc 16 Kathmandu Metropolitan City,Balaju,Moderna,2023-08-17,208,7,111
Uhc 26 Kathmandu Metropolitan City,Lainchaur,Sinopharm,2022-09-10,153,93,10
Uhc 16 Kathmandu Metropolitan City,Balaju,Moderna,2021-08-01,203,35,58
Uhc 13 Kathmandu Metropolitan City,Kalimati,Moderna,2021-12-22,50,21,4
Uhc 18 Kathmandu Metropolitan City,Nardevi,AstraZeneca,2021-12-30,419,110,192
Uhc 7 Kathmandu Metropolitan City,Mitrapark,Johnson & Johnson,2023-10-17,471,439,30
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Sinopharm,2022-06-04,498,104,30
Uhc 13 Kathmandu Metropolitan City,Kalimati,Pfizer-BioNTech,2023-01-12,304,287,14
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,AstraZeneca,2023-06-19,61,11,0
Uhc 14 Kathmandu Metropolitan City,Kalanki,AstraZeneca,2023-10-17,169,104,40
Uhc 13 Kathmandu Metropolitan City,Kalimati,Sinopharm,2021-04-16,496,210,267
Uhc 14 Kathmandu Metropolitan City,Kalanki,AstraZeneca,2022-08-28,95,62,32
Uhc 24 Kathmandu Metropolitan City,Makhan,Sinopharm,2021-01-16,467,332,54
Uhc 1 Kathmandu Metropolitan City,Naxal,Sinopharm,2024-02-14,207,198,0
Uhc 13 Kathmandu Metropolitan City,Kalimati,Pfizer-BioNTech,2020-11-19,455,121,233
Uhc 1 Kathmandu Metropolitan City,Naxal,AstraZeneca,2023-10-15,223,106,70
Uhc 4 Kathmandu Metropolitan City,Balwatar,Sinopharm,2022-03-19,423,94,131
Uhc 24 Kathmandu Metropolitan City,Makhan,Pfizer-BioNTech,2021-03-19,268,112,38
Uhc 31 Kathmandu Metropolitan City,Shantinagar,AstraZeneca,2020-10-21,95,70,13
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Sinopharm,2022-05-12,459,366,50
Uhc 18 Kathmandu Metropolitan City,Nardevi,Johnson & Johnson,2022-04-29,359,338,17
Uhc 18 Kathmandu Metropolitan City,Nardevi,AstraZeneca,2022-10-25,147,114,20
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2021-03-04,266,96,126
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Pfizer-BioNTech,2023-03-15,225,223,0
Uhc 24 Kathmandu Metropolitan City,Makhan,AstraZeneca,2020-12-26,245,14,26
Uhc 14 Kathmandu Metropolitan City,Kalanki,Pfizer-BioNTech,2021-03-06,224,183,31
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Pfizer-BioNTech,2020-11-07,410,69,173
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Sinopharm,2022-01-12,444,366,30
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Pfizer-BioNTech,2023-06-15,395,346,45
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Pfizer-BioNTech,2023-02-20,125,109,9
Uhc 32 Kathmandu Metropolitan City,Koteshwor,Sinopharm,2023-08-13,165,64,91
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,AstraZeneca,2022-09-12,95,47,19
Uhc 13 Kathmandu Metropolitan City,Kalimati,Pfizer-BioNTech,2022-10-30,220,36,165
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,AstraZeneca,2021-08-16,76,42,30
Uhc 9 Kathmandu Metropolitan City,Gaushala,Sinopharm,2021-10-29,480,151,259
Uhc 32 Kathmandu Metropolitan City,Koteshwor,AstraZeneca,2022-07-26,482,108,265
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Pfizer-BioNTech,2021-04-22,478,356,23
Uhc 7 Kathmandu Metropolitan City,Mitrapark,Johnson & Johnson,2022-05-22,456,92,134
Uhc 7 Kathmandu Metropolitan City,Mitrapark,Sinopharm,2024-01-26,134,90,21
Uhc 16 Kathmandu Metropolitan City,Balaju,Sinopharm,2023-03-23,272,59,147
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Sinopharm,2020-12-31,489,78,116
Uhc 9 Kathmandu Metropolitan City,Gaushala,Pfizer-BioNTech,2022-03-20,273,170,52
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,Pfizer-BioNTech,2022-05-27,51,7,6
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Pfizer-BioNTech,2022-05-16,315,272,13
Uhc 16 Kathmandu Metropolitan City,Balaju,Sinopharm,2024-01-11,206,82,40
Uhc 18 Kathmandu Metropolitan City,Nardevi,Pfizer-BioNTech,2021-02-01,265,198,8
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Sinopharm,2020-11-21,414,228,19
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Sinopharm,2023-04-20,292,109,63
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,AstraZeneca,2022-11-29,135,110,16
Uhc 12 Kathmandu Metropolitan City,Teku,AstraZeneca,2023-12-11,246,148,91
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Sinopharm,2023-04-17,291,168,82
Uhc 24 Kathmandu Metropolitan City,Makhan,AstraZeneca,2023-10-19,117,56,39
Uhc 24 Kathmandu Metropolitan City,Makhan,AstraZeneca,2022-09-16,98,68,29
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,AstraZeneca,2021-02-25,289,213,45
Uhc 12 Kathmandu Metropolitan City,Teku,AstraZeneca,2022-09-06,440,369,30
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,Sinopharm,2022-05-27,418,49,198
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Pfizer-BioNTech,2021-07-29,225,122,6
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,AstraZeneca,2022-01-01,352,152,113
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Sinopharm,2021-09-09,187,94,31
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Sinopharm,2022-02-19,126,59,52
Uhc 4 Kathmandu Metropolitan City,Balwatar,AstraZeneca,2023-10-22,226,167,28
Uhc 1 Kathmandu Metropolitan City,Naxal,Sinopharm,2021-03-26,285,18,199
Uhc 23 Kathmandu Metropolitan City,Om Bahal,AstraZeneca,2023-10-19,53,46,2
Uhc 14 Kathmandu Metropolitan City,Kalanki,Johnson & Johnson,2024-01-09,295,59,54
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,Sinopharm,2023-01-02,286,67,142
Uhc 26 Kathmandu Metropolitan City,Lainchaur,Pfizer-BioNTech,2023-06-18,389,27,269
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,AstraZeneca,2022-09-22,92,85,6
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Pfizer-BioNTech,2022-01-13,496,430,41
Uhc 23 Kathmandu Metropolitan City,Om Bahal,Sinopharm,2021-11-05,416,18,385
Uhc 16 Kathmandu Metropolitan City,Balaju,AstraZeneca,2021-04-23,153,2,119
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Sinopharm,2021-11-03,354,167,105
Uhc 23 Kathmandu Metropolitan City,Om Bahal,AstraZeneca,2023-05-25,112,36,6
Uhc 26 Kathmandu Metropolitan City,Lainchaur,Sinopharm,2021-11-14,272,190,10
Uhc 23 Kathmandu Metropolitan City,Om Bahal,Pfizer-BioNTech,2021-09-04,433,204,211
Uhc 13 Kathmandu Metropolitan City,Kalimati,Pfizer-BioNTech,2022-12-11,458,410,33
Uhc 18 Kathmandu Metropolitan City,Nardevi,Sinopharm,2023-12-26,207,193,9
Uhc 16 Kathmandu Metropolitan City,Balaju,Pfizer-BioNTech,2021-08-04,486,429,40
Uhc 23 Kathmandu Metropolitan City,Om Bahal,Pfizer-BioNTech,2021-04-05,169,25,111
Uhc 23 Kathmandu Metropolitan City,Om Bahal,Pfizer-BioNTech,2023-01-31,191,67,3
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Pfizer-BioNTech,2021-04-25,381,190,179
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Sinopharm,2022-11-17,159,5,88
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Pfizer-BioNTech,2023-03-02,397,284,5
Uhc 31 Kathmandu Metropolitan City,Shantinagar,AstraZeneca,2021-06-01,95,78,8
Uhc 16 Kathmandu Metropolitan City,Balaju,Moderna,2022-10-31,452,333,98
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Sinopharm,2021-09-03,397,333,47
Uhc 15 Kathmandu Metropolitan City,Dallu,Sinopharm,2023-05-19,303,27,59
Uhc 13 Kathmandu Metropolitan City,Kalimati,Sinopharm,2023-05-07,130,112,9
Uhc 25 Kathmandu Metropolitan City,Masan Galli,Sinopharm,2023-11-24,253,64,103
Uhc 15 Kathmandu Metropolitan City,Dallu,Sinopharm,2023-02-18,247,95,13
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Pfizer-BioNTech,2023-10-13,272,9,28
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Pfizer-BioNTech,2022-09-17,168,28,82
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Sinopharm,2023-06-25,348,137,19
Uhc 31 Kathmandu Metropolitan City,Shantinagar,Pfizer-BioNTech,2021-01-06,131,122,0
Uhc 12 Kathmandu Metropolitan City,Teku,Pfizer-BioNTech,2022-07-04,79,30,41
Uhc 1 Kathmandu Metropolitan City,Naxal,AstraZeneca,2023-01-04,266,158,89
Uhc 24 Kathmandu Metropolitan City,Makhan,Sinopharm,2021-02-08,207,171,26
Uhc 9 Kathmandu Metropolitan City,Gaushala,Pfizer-BioNTech,2024-01-21,446,107,196
Uhc 13 Kathmandu Metropolitan City,Kalimati,AstraZeneca,2023-03-11,137,36,28
Uhc 6 Kathmandu Metropolitan City,Baudhha,Pfizer-BioNTech,2023-12-21,39,13,20
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Sinopharm,2022-01-25,179,82,80
Uhc 7 Kathmandu Metropolitan City,Mitrapark,Pfizer-BioNTech,2020-10-27,365,355,8
Uhc 23 Kathmandu Metropolitan City,Om Bahal,Pfizer-BioNTech,2022-05-20,419,14,321
Uhc 24 Kathmandu Metropolitan City,Makhan,Sinopharm,2023-01-15,199,79,96
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,Sinopharm,2023-06-30,98,92,6
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Sinopharm,2020-11-18,302,182,81
Uhc 16 Kathmandu Metropolitan City,Balaju,Pfizer-BioNTech,2021-09-08,181,86,49
Uhc 23 Kathmandu Metropolitan City,Om Bahal,Sinopharm,2023-08-28,120,23,40
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Pfizer-BioNTech,2021-09-11,136,93,25
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Pfizer-BioNTech,2023-02-22,238,194,10
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Pfizer-BioNTech,2023-07-24,186,114,15
Uhc 23 Kathmandu Metropolitan City,Om Bahal,AstraZeneca,2021-05-18,296,246,17
Uhc 9 Kathmandu Metropolitan City,Gaushala,Sinopharm,2021-09-04,321,136,27
Uhc 9 Kathmandu Metropolitan City,Gaushala,Sinopharm,2021-03-15,186,173,11
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Pfizer-BioNTech,2023-12-23,351,151,47
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,AstraZeneca,2021-08-29,214,95,4
Uhc 15 Kathmandu Metropolitan City,Dallu,Pfizer-BioNTech,2023-10-08,263,30,124
Uhc 9 Kathmandu Metropolitan City,Gaushala,Pfizer-BioNTech,2023-05-11,404,207,13
Uhc 7 Kathmandu Metropolitan City,Mitrapark,Pfizer-BioNTech,2024-02-07,454,153,274
Uhc 4 Kathmandu Metropolitan City,Balwatar,Moderna,2021-02-13,136,36,84
Uhc 25 Kathmandu Metropolitan City,Masan Galli,AstraZeneca,2022-05-06,444,138,17
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Sinopharm,2022-10-06,475,20,26
Uhc 2 Kathmandu Metropolitan City,Lazimpat,AstraZeneca,2023-12-02,68,13,28
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Pfizer-BioNTech,2024-01-01,81,80,1
Uhc 6 Kathmandu Metropolitan City,Baudhha,Sinopharm,2022-06-18,385,107,30
Uhc 26 Kathmandu Metropolitan City,Lainchaur,Pfizer-BioNTech,2022-06-07,312,155,121
Uhc 15 Kathmandu Metropolitan City,Dallu,Johnson & Johnson,2021-04-15,401,295,33
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Pfizer-BioNTech,2022-08-06,416,166,210
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Sinopharm,2024-01-10,63,26,19
Uhc 24 Kathmandu Metropolitan City,Makhan,AstraZeneca,2023-07-28,396,148,39
Uhc 6 Kathmandu Metropolitan City,Baudhha,AstraZeneca,2023-10-04,131,92,14
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Pfizer-BioNTech,2023-07-26,322,47,43
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Sinopharm,2021-06-15,348,266,18
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Pfizer-BioNTech,2022-08-12,301,269,24
Uhc 12 Kathmandu Metropolitan City,Teku,Pfizer-BioNTech,2021-11-08,87,80,3
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Pfizer-BioNTech,2022-04-15,427,224,15
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Moderna,2021-02-24,55,18,22
Uhc 23 Kathmandu Metropolitan City,Om Bahal,Pfizer-BioNTech,2023-08-17,168,21,0
Uhc 13 Kathmandu Metropolitan City,Kalimati,Sinopharm,2022-10-08,286,185,79
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Sinopharm,2022-06-23,156,90,3
Uhc 13 Kathmandu Metropolitan City,Kalimati,Sinopharm,2020-11-03,183,42,14
Uhc 26 Kathmandu Metropolitan City,Lainchaur,Sinopharm,2021-02-25,63,40,14
Uhc 18 Kathmandu Metropolitan City,Nardevi,Sinopharm,2020-11-03,305,73,25
Uhc 14 Kathmandu Metropolitan City,Kalanki,Moderna,2021-02-24,304,273,15
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2021-01-20,69,19,36
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Pfizer-BioNTech,2021-07-15,346,74,140
Uhc 13 Kathmandu Metropolitan City,Kalimati,Pfizer-BioNTech,2022-03-06,275,63,68
Uhc 13 Kathmandu Metropolitan City,Kalimati,Moderna,2022-03-25,208,185,18
Uhc 15 Kathmandu Metropolitan City,Dallu,AstraZeneca,2023-12-28,373,329,14
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,Sinopharm,2020-12-24,51,9,38
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Sinopharm,2023-02-06,470,462,0
Uhc 31 Kathmandu Metropolitan City,Shantinagar,Pfizer-BioNTech,2023-05-31,117,99,13
Uhc 24 Kathmandu Metropolitan City,Makhan,Pfizer-BioNTech,2020-10-24,342,114,76
Uhc 7 Kathmandu Metropolitan City,Mitrapark,Pfizer-BioNTech,2022-09-15,183,86,35
Uhc 24 Kathmandu Metropolitan City,Makhan,Pfizer-BioNTech,2023-12-26,238,79,107
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Pfizer-BioNTech,2021-11-23,156,46,22
Uhc 12 Kathmandu Metropolitan City,Teku,Pfizer-BioNTech,2021-05-30,217,206,9
Uhc 31 Kathmandu Metropolitan City,Shantinagar,Moderna,2021-02-27,272,215,53
Uhc 2 Kathmandu Metropolitan City,Lazimpat,AstraZeneca,2021-11-03,109,61,10
Uhc 24 Kathmandu Metropolitan City,Makhan,Pfizer-BioNTech,2023-11-12,404,349,8
Uhc 15 Kathmandu Metropolitan City,Dallu,Sinopharm,2024-01-20,78,58,10
Uhc 6 Kathmandu Metropolitan City,Baudhha,AstraZeneca,2023-03-31,186,102,83
Uhc 15 Kathmandu Metropolitan City,Dallu,Sinopharm,2023-01-04,445,231,84
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,AstraZeneca,2020-11-14,443,206,178
